Gene name (systematic),L (in codon),alpha_phys,rho_phys (E)
YER058W,108,0.45595,0.04420
YER059W,421,0.06702,0.01210
YER060W,529,0.11137,0.01580
YER061C,443,0.07158,0.01130
YER062C,251,0.25777,0.02527
YER063W,219,0.07963,0.01094
YER064C,506,0.06931,0.01225
YER065C,558,0.03420,0.00468
YER066W,186,0.14940,0.02220
YER067W,162,0.09202,0.01426
YER068W,588,0.04773,0.00744
YER069W,864,0.10289,0.01357
YER070W,889,0.11419,0.01395
YER071C,127,0.22591,0.03419
YER072W,130,0.11028,0.01658
YER073W,521,0.12880,0.01572
YER074W,136,0.19322,0.01484
YER075C,929,0.03069,0.00538
YER076C,303,0.06907,0.01111
YER077C,689,0.04706,0.00812
YER078C,512,0.06230,0.00905
YER079W,211,0.07535,0.01169
YER080W,628,0.08923,0.01212
YER081W,470,0.15239,0.01766
YER082C,555,0.08349,0.01258
YER083C,286,0.07204,0.01320
YER085C,174,0.14536,0.02414
YER086W,577,0.07642,0.01048
YER087W,577,0.04646,0.00779
YER088C-A,108,0.05373,0.00985
YER089C,465,0.08938,0.01442
YER090W,508,0.10284,0.01433
YER091C-A,74,0.07699,0.01640
YER092W,126,0.22434,0.03391
YER093C,1431,0.01959,0.00361
YER094C,206,0.11014,0.01690
YER095W,401,0.09611,0.01494
YER096W,513,0.06491,0.01072
YER097W,110,0.24814,0.03470
YER098W,755,0.03631,0.00629
YER099C,319,0.09140,0.01580
YER100W,251,0.15449,0.02043
YER101C,431,0.07444,0.01108
YER102W,201,0.13836,0.01181
YER103W,643,0.10577,0.01577
YER104W,209,0.13234,0.01919
YER105C,1392,0.04902,0.00806
YER106W,303,0.08968,0.01408
YER107C,366,0.07788,0.01263
YER109C,800,0.02151,0.00370
YER110C,1114,0.11031,0.01162
YER111C,1094,0.03499,0.00584
YER112W,188,0.30609,0.02624
YER113C,707,0.04016,0.00688
YER114C,1041,0.01367,0.00232
YER115C,192,0.07243,0.01368
YER116C,275,0.09566,0.01645
YER117W,138,0.19475,0.01637
YER118C,368,0.09967,0.01396
YER119C-A,124,0.08510,0.01511
YER120W,245,0.10781,0.01675
YER121W,115,0.21519,0.02843
YER122C,494,0.08936,0.01301
YER123W,525,0.07469,0.01138
YER124C,574,0.07776,0.01236
YER125W,810,0.06372,0.00922
YER126C,262,0.16577,0.01877
YER127W,358,0.12251,0.01656
YER128W,204,0.12035,0.01832
YER129W,1143,0.02035,0.00354
YER130C,444,0.06689,0.01158
YER131W,120,0.18141,0.01682
YER132C,1754,0.01670,0.00298
YER133W-A,114,0.09000,0.01634
YER134C,179,0.10985,0.01738
YER135C,131,0.18749,0.02853
YER136W,452,0.12584,0.01582
YER137C,149,0.26296,0.03701
YER139C,227,0.12243,0.01816
YER140W,557,0.09391,0.01616
YER141W,487,0.13104,0.01695
YER142C,297,0.09413,0.01513
YER143W,429,0.09808,0.01621
YER144C,806,0.01768,0.00347
YER145C-A,146,0.12372,0.02149
YER146W,94,0.14176,0.02501
YER147C-A,137,0.06704,0.01160
YER148W-A,193,0.04780,0.00944
YER149C,421,0.05082,0.00869
YER150W,149,0.37269,0.03585
YER151C,913,0.04112,0.00623
YER152C,444,0.05568,0.01134
YER153C,255,0.05180,0.01070
YER154W,403,0.07447,0.01196
YER155C,2168,0.01214,0.00198
YER156C,339,0.12965,0.01813
YER157W,802,0.06988,0.01054
YER158C,574,0.11682,0.01642
YER159C,143,0.11367,0.01888
YER161C,334,0.05093,0.00820
YER162C,755,0.03430,0.00566
YER163C,233,0.09248,0.01689
YER164W,1469,0.02317,0.00372
YER165W,578,0.11160,0.01112
YER166W,1572,0.02210,0.00344
YER167W,852,0.04063,0.00645
YER168C,547,0.08836,0.01380
YER169W,797,0.03542,0.00630
YER170W,226,0.18758,0.02760
YER171W,779,0.06036,0.00992
YER172C-A,127,0.00487,0.00102
YER173W,660,0.03141,0.00574
YER174C,245,0.07028,0.01127
YER175C,300,0.11132,0.01791
YER176W,1122,0.02486,0.00415
YER177W,268,0.18913,0.02217
YER178W,421,0.10019,0.01250
YER179W,335,0.11586,0.01871
YER180C,268,0.04418,0.00753
YER181C,108,0.13870,0.03138
YER182W,245,0.12966,0.01998
YER183C,212,0.07872,0.01359
YER184C,795,0.03086,0.00577
YER185W,304,0.07351,0.01198
YER186C,307,0.04420,0.00779
YER187W,142,0.15557,0.02506
YER188W,240,0.18206,0.02655
YER189W,123,0.10886,0.01685
YFL001W,443,0.07878,0.01231
YFL002C,607,0.12453,0.01983
YFL003C,879,0.04171,0.00751
YFL004W,829,0.07280,0.01023
YFL005W,216,0.12774,0.01780
YFL007W,2144,0.05128,0.00851
YFL008W,1226,0.02486,0.00399
YFL009W,780,0.03642,0.00608
YFL010C,212,0.10614,0.01617
YFL011W,547,0.04681,0.00720
YFL012W,125,0.25465,0.03158
YFL013C,693,0.04927,0.00830
YFL014W,110,0.68476,0.03797
YFL015C,165,0.10418,0.01892
YFL016C,512,0.11711,0.01715
YFL017C,160,0.11246,0.01615
YFL018C,500,0.14015,0.01622
YFL020C,123,0.19261,0.01694
YFL021W,511,0.07394,0.01246
YFL022C,504,0.12707,0.01796
YFL023W,797,0.03870,0.00641
YFL024C,833,0.03094,0.00524
YFL025C,1030,0.05299,0.00887
YFL026W,432,0.09995,0.01645
YFL027C,498,0.04079,0.00711
YFL028C,290,0.10902,0.01722
YFL029C,369,0.08141,0.01264
YFL030W,386,0.06525,0.01124
YFL031W,239,0.07822,0.01613
YFL032W,107,0.20366,0.02614
YFL033C,1771,0.04828,0.00852
YFL034W,1074,0.04473,0.00706
YFL036W,1352,0.07370,0.01041
YFL037W,458,0.11372,0.01525
YFL038C,207,0.16987,0.02195
YFL039C,376,0.15088,0.01435
YFL040W,541,0.04799,0.00844
YFL041W,623,0.02420,0.00437
YFL042C,675,0.09250,0.01437
YFL044C,302,0.09137,0.01339
YFL045C,255,0.26660,0.02293
YFL046W,208,0.08942,0.01450
YFL047W,715,0.04459,0.00798
YFL048C,446,0.08285,0.01218
YFL049W,624,0.06606,0.01027
YFL050C,859,0.01821,0.00319
YFL051C,161,0.31217,0.03247
YFL052W,466,0.04807,0.01083
YFL053W,592,0.02746,0.00494
YFL054C,647,0.02837,0.00500
YFL055W,559,0.09237,0.01470
YFL056C,213,0.08674,0.01483
YFL058W,341,0.13213,0.01409
YFL059W,299,0.09170,0.01244
YFL060C,223,0.07645,0.01244
YFL061W,226,0.08920,0.01503
YFL062W,380,0.09832,0.01619
YFL063W,152,0.23595,0.03236
YFL064C,175,0.06269,0.01154
YFL065C,103,0.16730,0.02745
YFL066C,393,0.02580,0.00514
YFL067W,176,0.08165,0.01185
YFL068W,161,0.06154,0.01254
YFR001W,205,0.11272,0.01682
YFR002W,840,0.09190,0.01338
YFR003C,156,0.17002,0.02781
YFR004W,307,0.14743,0.01905
YFR005C,449,0.06946,0.01139
YFR006W,536,0.13710,0.01506
YFR007W,354,0.09461,0.01483
YFR008W,222,0.13820,0.02229
YFR009W,753,0.10282,0.01238
YFR010W,500,0.12870,0.01604
YFR011C,171,0.16868,0.02216
YFR012W,203,0.10883,0.02020
YFR013W,788,0.04612,0.00749
YFR014C,447,0.07550,0.01238
YFR015C,709,0.04053,0.00606
YFR016C,1234,0.03429,0.00558
YFR017C,196,0.09269,0.01530
YFR018C,364,0.05611,0.01124
YFR020W,233,0.07754,0.01202
YFR021W,501,0.07562,0.01258
YFR022W,734,0.01536,0.00302
YFR023W,612,0.12226,0.01779
YFR024C-A,452,0.15527,0.01900
YFR025C,336,0.05233,0.00886
YFR026C,170,0.17394,0.02630
YFR027W,282,0.07835,0.01339
YFR028C,552,0.07061,0.01092
YFR029W,679,0.03090,0.00596
YFR030W,1036,0.09302,0.01157
YFR031C,1171,0.06605,0.01087
YFR032C,290,0.04262,0.00696
YFR033C,148,0.15799,0.02397
YFR034C,313,0.08835,0.01575
YFR035C,115,0.15506,0.02785
YFR036W-A,217,0.15347,0.02633
YFR037C,558,0.08346,0.01442
YFR038W,854,0.02858,0.00453
YFR039C,511,0.06528,0.01069
YFR040W,1003,0.02746,0.00436
YFR041C,296,0.12958,0.01873
YFR042W,201,0.15486,0.02368
YFR043C,238,0.10825,0.01555
YFR044C,482,0.19346,0.02065
YFR045W,310,0.11365,0.01652
YFR046C,362,0.07237,0.01266
YFR047C,296,0.09068,0.01321
YFR048W,663,0.03776,0.00649
YFR049W,124,0.22111,0.03365
YFR050C,267,0.10460,0.01606
YFR051C,547,0.08538,0.01289
YFR052W,275,0.10077,0.01569
YFR053C,486,0.16699,0.01755
YFR054C,193,0.10143,0.01517
YFR055W,341,0.12989,0.01955
YFR056C,123,0.27108,0.04553
YFR057W,152,0.15752,0.02398
YGL001C,350,0.12345,0.01736
YGL002W,217,0.05814,0.00933
YGL003C,567,0.03908,0.00717
YGL004C,418,0.08544,0.01360
YGL005C,280,0.10271,0.01641
YGL006W,1174,0.07834,0.01244
YGL007W,126,0.18923,0.03226
YGL008C,919,0.19782,0.01533
YGL009C,780,0.11793,0.01388
YGL010W,175,0.09132,0.01754
YGL011C,253,0.09547,0.01335
YGL012W,474,0.12618,0.01660
YGL013C,1069,0.03897,0.00666
YGL014W,889,0.03379,0.00545
YGL015C,131,0.11038,0.01719
YGL016W,1082,0.06711,0.01041
YGL017W,504,0.06700,0.01142
YGL018C,185,0.11413,0.01904
YGL019W,279,0.08662,0.01418
YGL020C,236,0.12064,0.01688
YGL021W,761,0.04098,0.00683
YGL022W,719,0.10287,0.01347
YGL023C,636,0.03082,0.00597
YGL024W,112,0.31855,0.04559
YGL025C,398,0.07344,0.01274
YGL026C,708,0.14300,0.01622
YGL027C,834,0.10729,0.01502
YGL028C,543,0.11127,0.01327
YGL029W,121,0.18765,0.02085
YGL030W,106,0.25777,0.01904
YGL031C,156,0.16541,0.01294
YGL032C,88,0.17902,0.02426
YGL033W,219,0.19800,0.02871
YGL034C,122,0.22493,0.03895
YGL035C,505,0.06369,0.01061
YGL036W,910,0.02537,0.00433
YGL037C,217,0.18336,0.02316
YGL038C,481,0.15932,0.02346
YGL039W,349,0.08357,0.01185
YGL040C,343,0.15073,0.02010
YGL041C,105,0.22588,0.03392
YGL042C,102,0.26049,0.04289
YGL043W,310,0.11166,0.01482
YGL044C,297,0.10720,0.01703
YGL045W,543,0.11783,0.01913
YGL047W,203,0.06019,0.01011
YGL048C,406,0.10384,0.01422
YGL049C,915,0.04927,0.00758
YGL050W,274,0.07046,0.01173
YGL051W,235,0.08241,0.01433
YGL052W,102,0.26349,0.03091
YGL053W,238,0.07448,0.01311
YGL054C,139,0.18757,0.01952
YGL055W,511,0.17860,0.01788
YGL056C,528,0.10067,0.01681
YGL057C,288,0.06356,0.01139
YGL058W,173,0.21774,0.02461
YGL059W,492,0.06256,0.00977
YGL060W,642,0.06035,0.00925
YGL061C,248,0.12003,0.01851
YGL062W,1179,0.08406,0.01079
YGL063W,371,0.04836,0.00978
YGL064C,562,0.07008,0.01099
YGL065C,504,0.10136,0.01411
YGL066W,658,0.04847,0.00831
YGL067W,385,0.06261,0.01002
YGL068W,195,0.13280,0.01773
YGL069C,155,0.13339,0.02033
YGL070C,123,0.20002,0.02900
YGL071W,691,0.03273,0.00579
YGL072C,120,0.13426,0.02640
YGL073W,834,0.03059,0.00513
YGL074C,109,0.27987,0.04079
YGL075C,388,0.05065,0.00872
YGL076C,245,0.26177,0.02055
YGL077C,564,0.09039,0.01290
YGL078C,524,0.13597,0.01756
YGL079W,219,0.10617,0.01583
YGL080W,131,0.16440,0.02527
YGL081W,321,0.06691,0.01154
YGL082W,382,0.08236,0.01365
YGL083W,805,0.04721,0.00718
YGL084C,561,0.15647,0.01923
YGL085W,275,0.05722,0.00920
YGL086W,750,0.04100,0.00676
YGL087C,138,0.29969,0.03249
YGL088W,122,0.15071,0.02942
YGL089C,121,0.18816,0.02037
YGL090W,422,0.04676,0.00782
YGL091C,329,0.10589,0.01670
YGL092W,1318,0.06138,0.00980
YGL093W,918,0.02600,0.00471
YGL094C,1116,0.02650,0.00453
YGL095C,578,0.06255,0.00974
YGL096W,277,0.10559,0.01759
YGL097W,483,0.12173,0.01660
YGL098W,246,0.08399,0.01383
YGL099W,641,0.11689,0.01571
YGL100W,350,0.06810,0.01104
YGL101W,216,0.10132,0.01593
YGL102C,143,0.08084,0.01571
YGL103W,150,0.15707,0.01346
YGL104C,487,0.06045,0.00966
YGL105W,377,0.17468,0.01712
YGL106W,150,0.17498,0.02290
YGL107C,647,0.06441,0.00980
YGL108C,141,0.29809,0.03030
YGL109W,108,0.23526,0.04874
YGL110C,625,0.05906,0.00948
YGL111W,464,0.07386,0.01215
YGL112C,517,0.09068,0.01279
YGL113W,669,0.10376,0.01703
YGL114W,726,0.08929,0.01603
YGL115W,323,0.07767,0.01270
YGL116W,611,0.05959,0.00939
YGL117W,266,0.10130,0.01631
YGL118C,146,0.19482,0.02779
YGL119W,502,0.05736,0.00945
YGL120C,768,0.09745,0.01387
YGL121C,127,0.17877,0.03016
YGL122C,526,0.10348,0.01637
YGL123W,255,0.23629,0.01839
YGL124C,645,0.04752,0.00849
YGL125W,601,0.08314,0.01244
YGL126W,381,0.08133,0.01503
YGL127C,128,0.17961,0.03030
YGL128C,284,0.08289,0.01424
YGL129C,489,0.06908,0.01058
YGL130W,460,0.11172,0.01804
YGL131C,1404,0.04310,0.00763
YGL132W,112,0.18176,0.03702
YGL133W,1265,0.03631,0.00575
YGL134W,434,0.04653,0.00853
YGL135W,218,0.11046,0.00974
YGL136C,321,0.29332,0.03747
YGL137W,890,0.09786,0.01344
YGL138C,346,0.06205,0.01106
YGL139W,803,0.07331,0.01120
YGL140C,1220,0.05587,0.00886
YGL142C,617,0.03377,0.00631
YGL143C,414,0.07390,0.01108
YGL144C,686,0.03487,0.00610
YGL145W,702,0.05025,0.00760
YGL146C,312,0.04861,0.00961
YGL147C,192,0.25481,0.01941
YGL148W,377,0.12448,0.01444
YGL150C,1490,0.01013,0.00161
YGL151W,1133,0.05305,0.00869
YGL152C,226,0.07412,0.01337
YGL153W,342,0.04356,0.00708
YGL154C,273,0.06635,0.00998
YGL155W,377,0.05164,0.00867
YGL156W,1084,0.01466,0.00234
YGL157W,348,0.10149,0.01347
YGL158W,513,0.28058,0.03573
YGL159W,371,0.08384,0.01320
YGL160W,571,0.10112,0.01601
YGL161C,311,0.08173,0.01431
YGL162W,300,0.07370,0.01244
YGL163C,899,0.02946,0.00479
YGL164C,441,0.07413,0.01200
YGL165C,193,0.09250,0.01700
YGL166W,226,0.09039,0.01562
YGL167C,951,0.06262,0.00918
YGL168W,111,0.46183,0.06477
YGL169W,427,0.07142,0.01159
YGL170C,414,0.09314,0.01300
YGL171W,565,0.09641,0.01416
YGL172W,473,0.07145,0.01153
YGL173C,1529,0.02444,0.00387
YGL174W,267,0.12311,0.01866
YGL175C,346,0.04730,0.00802
YGL176C,555,0.02820,0.00494
YGL177W,116,0.36432,0.03912
YGL178W,860,0.03010,0.00507
YGL179C,561,0.04217,0.00748
YGL180W,898,0.03762,0.00620
YGL181W,397,0.06507,0.01198
YGL183C,220,0.23302,0.02896
YGL184C,466,0.05270,0.00960
YGL185C,380,0.10250,0.01488
YGL186C,580,0.16299,0.02273
YGL187C,156,0.13250,0.01581
YGL188C,58,0.43777,0.05061
YGL189C,120,0.18843,0.01682
YGL190C,527,0.07784,0.01196
YGL191W,130,0.24074,0.02639
YGL192W,601,0.01867,0.00336
YGL193C,104,0.13518,0.02641
YGL194C,453,0.08526,0.01366
YGL196W,429,0.18085,0.02999
YGL197W,1488,0.01131,0.00205
YGL198W,236,0.05962,0.01184
YGL199C,157,0.13306,0.02303
YGL200C,204,0.10867,0.01717
YGL201C,1018,0.07675,0.01153
YGL202W,501,0.13026,0.01725
YGL203C,730,0.15132,0.01823
YGL204C,102,0.12524,0.02166
YGL205W,749,0.03029,0.00473
YGL207W,1036,0.08459,0.01151
YGL208W,416,0.12571,0.02107
YGL209W,383,0.08542,0.01418
YGL210W,223,0.14785,0.02133
YGL211W,360,0.21382,0.02823
YGL212W,317,0.09424,0.01695
YGL213C,398,0.09801,0.01382
YGL214W,163,0.14806,0.02437
YGL215W,453,0.02583,0.00446
YGL216W,806,0.04223,0.00758
YGL217C,114,0.16883,0.03456
YGL218W,217,0.16655,0.02178
YGL219C,460,0.06486,0.01242
YGL220W,121,0.09189,0.01754
YGL221C,289,0.08789,0.01389
YGL222C,176,0.09659,0.01496
YGL223C,418,0.07972,0.01361
YGL224C,281,0.08509,0.01427
YGL225W,338,0.14759,0.01827
YGL226W,124,0.17241,0.02813
YGL227W,959,0.02917,0.00446
YGL228W,578,0.19455,0.02410
YGL229C,819,0.03183,0.00501
YGL230C,148,0.15321,0.02374
YGL231C,191,0.15462,0.01963
YGL232W,290,0.09732,0.01493
YGL233W,911,0.04083,0.00631
YGL234W,803,0.11120,0.01411
YGL235W,179,0.15846,0.02635
YGL236C,670,0.04691,0.00835
YGL237C,266,0.09414,0.01577
YGL238W,961,0.04568,0.00700
YGL239C,105,0.28505,0.06097
YGL240W,251,0.07841,0.01439
YGL241W,1005,0.07383,0.01203
YGL242C,182,0.16984,0.02288
YGL243W,401,0.04531,0.00765
YGL244W,559,0.09140,0.01370
YGL245W,709,0.14314,0.01440
YGL246C,388,0.07695,0.01297
YGL247W,198,0.09005,0.01496
YGL248W,370,0.07520,0.01135
YGL249W,705,0.03776,0.00649
YGL250W,242,0.10379,0.01679
YGL251C,1188,0.01022,0.00180
YGL252C,589,0.06826,0.01070
YGL253W,487,0.20448,0.01757
YGL254W,300,0.11387,0.01784
YGL255W,377,0.13878,0.01799
YGL256W,466,0.10056,0.00995
YGL257C,559,0.02838,0.00509
YGL258W,207,0.13387,0.01523
YGL259W,166,0.14900,0.02724
YGL260W,77,0.25309,0.04131
YGL261C,121,0.17257,0.01668
YGL262W,176,0.11050,0.02056
YGL263W,381,0.05959,0.01031
YGR001C,249,0.13324,0.01901
YGR002C,477,0.06139,0.01141
YGR003W,745,0.03591,0.00645
YGR004W,463,0.06924,0.01186
YGR005C,401,0.08167,0.01222
YGR006W,252,0.07342,0.01244
YGR007W,324,0.06147,0.00994
YGR008C,85,0.53907,0.04084
YGR009C,652,0.05041,0.00842
YGR010W,396,0.07165,0.01175
YGR011W,109,0.23003,0.03352
YGR012W,394,0.10018,0.01477
YGR013W,621,0.05837,0.00914
YGR014W,1307,0.04299,0.00712
YGR015C,329,0.05697,0.01014
YGR016W,191,0.11983,0.02140
YGR017W,298,0.05785,0.00855
YGR018C,110,0.12012,0.02283
YGR019W,472,0.20738,0.02448
YGR020C,119,0.15952,0.01696
YGR021W,291,0.11647,0.01737
YGR022C,110,0.10470,0.02180
YGR023W,552,0.05283,0.00992
YGR024C,238,0.05698,0.00999
YGR025W,101,0.48945,0.05108
YGR026W,279,0.13843,0.02027
YGR027C,109,0.22764,0.01852
YGR028W,363,0.08171,0.01343
YGR029W,190,0.36004,0.04418
YGR030C,159,0.23896,0.03292
YGR031W,343,0.09228,0.01613
YGR032W,1896,0.02870,0.00429
YGR033C,240,0.06851,0.01174
YGR034W,128,0.18232,0.01553
YGR035C,117,0.32713,0.03714
YGR036C,240,0.08262,0.01365
YGR037C,88,0.27734,0.03093
YGR038W,223,0.11444,0.01691
YGR039W,104,0.32506,0.04768
YGR040W,369,0.06445,0.01089
YGR041W,548,0.03640,0.00594
YGR042W,272,0.09184,0.01495
YGR043C,334,0.10106,0.01467
YGR044C,301,0.07382,0.01302
YGR045C,121,0.19436,0.02740
YGR046W,386,0.06076,0.00983
YGR047C,1026,0.03132,0.00549
YGR048W,362,0.09793,0.01581
YGR049W,188,0.19884,0.02499
YGR050C,119,0.22726,0.03915
YGR051C,108,0.26107,0.04259
YGR052W,370,0.20696,0.02960
YGR053C,284,0.09049,0.01359
YGR054W,643,0.10458,0.01352
YGR055W,575,0.18556,0.02019
YGR056W,929,0.03567,0.00591
YGR057C,243,0.06222,0.00918
YGR058W,336,0.10590,0.01607
YGR059W,513,0.04508,0.00666
YGR060W,310,0.20658,0.02184
YGR061C,1359,0.07823,0.01022
YGR062C,317,0.05340,0.01113
YGR063C,103,0.11132,0.01960
YGR064W,123,0.09249,0.01641
YGR065C,594,0.11795,0.01563
YGR066C,293,0.06789,0.01167
YGR067C,795,0.08333,0.01397
YGR068C,587,0.05339,0.00870
YGR069W,112,0.29059,0.03335
YGR070W,1156,0.01190,0.00211
YGR071C,861,0.02969,0.00544
YGR072W,388,0.08470,0.01270
YGR073C,124,0.19002,0.02775
YGR074W,147,0.12933,0.02174
YGR075C,243,0.07838,0.01228
YGR076C,158,0.19923,0.02420
YGR077C,590,0.03710,0.00675
YGR078C,200,0.11232,0.01866
YGR079W,371,0.08375,0.01327
YGR080W,333,0.10671,0.01847
YGR081C,211,0.23730,0.02595
YGR082W,184,0.24243,0.02351
YGR083C,652,0.08838,0.01245
YGR084C,340,0.09342,0.01425
YGR085C,175,0.21902,0.01752
YGR086C,340,0.15192,0.01810
YGR087C,564,0.10933,0.01595
YGR088W,563,0.14371,0.01975
YGR089W,937,0.04019,0.00617
YGR090W,1238,0.08013,0.01191
YGR091W,495,0.05855,0.00983
YGR092W,573,0.07557,0.01183
YGR093W,508,0.06079,0.01059
YGR094W,1105,0.08777,0.01037
YGR095C,224,0.10315,0.01584
YGR096W,315,0.06452,0.01104
YGR097W,1147,0.05266,0.00851
YGR098C,1631,0.03612,0.00632
YGR099W,689,0.04010,0.00736
YGR100W,951,0.06135,0.00986
YGR101W,347,0.07853,0.01395
YGR102C,184,0.07344,0.01326
YGR103W,606,0.10541,0.01489
YGR104C,308,0.12450,0.01723
YGR105W,78,0.33428,0.03720
YGR106C,266,0.12289,0.01371
YGR107W,150,0.12545,0.02197
YGR108W,472,0.04602,0.00743
YGR109C,381,0.08155,0.01137
YGR110W,446,0.07201,0.01223
YGR111W,401,0.07715,0.01239
YGR112W,390,0.07276,0.01187
YGR113W,344,0.08535,0.01387
YGR115C,260,0.21962,0.04598
YGR116W,1452,0.06207,0.00833
YGR117C,477,0.05491,0.00930
YGR118W,146,0.18409,0.01561
YGR119C,542,0.05412,0.00970
YGR120C,263,0.07236,0.01227
YGR121C,493,0.06546,0.01042
YGR122W,403,0.06570,0.01171
YGR123C,514,0.10099,0.01398
YGR124W,573,0.12957,0.01589
YGR125W,1037,0.09748,0.01314
YGR126W,231,0.08530,0.01282
YGR127W,313,0.06151,0.01055
YGR128C,714,0.10752,0.01612
YGR129W,216,0.12997,0.02028
YGR130C,817,0.04276,0.00669
YGR131W,175,0.22936,0.03293
YGR132C,288,0.09842,0.01441
YGR133W,184,0.06779,0.01273
YGR134W,1123,0.02535,0.00472
YGR135W,259,0.10566,0.01490
YGR136W,242,0.13719,0.02037
YGR137W,125,0.32512,0.03944
YGR138C,615,0.13042,0.01653
YGR141W,468,0.08746,0.01349
YGR142W,411,0.09823,0.01425
YGR143W,772,0.05811,0.00898
YGR144W,327,0.10396,0.01155
YGR145W,708,0.08121,0.01119
YGR146C,212,0.05899,0.01009
YGR147C,289,0.05230,0.00926
YGR148C,156,0.16406,0.01294
YGR149W,433,0.05716,0.00953
YGR150C,865,0.03401,0.00559
YGR151C,112,0.22680,0.03751
YGR152C,273,0.11208,0.01706
YGR153W,218,0.08794,0.01548
YGR154C,357,0.08890,0.01390
YGR155W,508,0.17947,0.01835
YGR156W,426,0.07740,0.01267
YGR157W,870,0.07757,0.01195
YGR158C,251,0.11403,0.01684
YGR159C,415,0.18428,0.01632
YGR160W,204,0.25449,0.03299
YGR161C,264,0.10401,0.02079
YGR162W,953,0.07853,0.01079
YGR163W,342,0.08250,0.01347
YGR164W,112,0.27984,0.03915
YGR165W,346,0.07477,0.01184
YGR166W,561,0.03382,0.00576
YGR167W,234,0.11309,0.01549
YGR168C,377,0.03806,0.00706
YGR169C,405,0.06663,0.01160
YGR170W,1139,0.01970,0.00327
YGR171C,576,0.05143,0.00808
YGR172C,249,0.10299,0.01615
YGR173W,369,0.11924,0.01808
YGR174C,171,0.11972,0.02035
YGR175C,497,0.15313,0.01654
YGR176W,116,0.42501,0.05608
YGR177C,536,0.09351,0.01538
YGR178C,723,0.06666,0.00962
YGR179C,407,0.08465,0.01519
YGR180C,346,0.18754,0.01925
YGR181W,106,0.26688,0.03052
YGR182C,118,0.09473,0.01711
YGR183C,67,0.33880,0.03013
YGR184C,1951,0.03272,0.00577
YGR185C,395,0.17471,0.01925
YGR186W,736,0.05395,0.00863
YGR187C,395,0.12448,0.01712
YGR188C,1022,0.02407,0.00425
YGR189C,508,0.16218,0.01667
YGR191W,604,0.10933,0.01572
YGR192C,333,0.20098,0.01586
YGR193C,411,0.09401,0.01401
YGR194C,601,0.06093,0.00973
YGR195W,247,0.12209,0.01895
YGR196C,818,0.03917,0.00648
YGR197C,548,0.03884,0.00666
YGR198W,818,0.06600,0.01098
YGR199W,760,0.09974,0.01567
YGR200C,789,0.08023,0.01166
YGR202C,425,0.09674,0.01568
YGR203W,149,0.14478,0.02713
YGR204W,947,0.09504,0.01279
YGR205W,291,0.15975,0.02134
YGR206W,102,0.25094,0.03083
YGR207C,262,0.14965,0.01916
YGR208W,310,0.10735,0.01539
YGR209C,105,0.26144,0.02429
YGR210C,412,0.07452,0.01262
YGR211W,487,0.11260,0.01668
YGR212W,469,0.07931,0.01142
YGR213C,318,0.08009,0.01376
YGR214W,253,0.19363,0.01793
YGR215W,111,0.28985,0.03056
YGR216C,610,0.03461,0.00654
YGR217W,2040,0.03623,0.00576
YGR218W,1085,0.07448,0.01098
YGR219W,114,0.19371,0.02679
YGR220C,270,0.08132,0.01086
YGR221C,623,0.01614,0.00324
YGR222W,294,0.06200,0.01193
YGR223C,449,0.05009,0.00848
YGR224W,614,0.01957,0.00329
YGR225W,594,0.04356,0.00734
YGR226C,70,0.14004,0.02335
YGR227W,526,0.11353,0.01950
YGR228W,115,0.42936,0.06236
YGR229C,506,0.10351,0.01487
YGR230W,138,0.09946,0.01955
YGR231C,311,0.11008,0.01585
YGR232W,229,0.09342,0.01418
YGR233C,1179,0.05707,0.00948
YGR234W,400,0.18616,0.02174
YGR235C,234,0.20324,0.02599
YGR236C,96,0.26408,0.03299
YGR237C,786,0.08805,0.01409
YGR238C,883,0.02044,0.00370
YGR239C,289,0.09390,0.01598
YGR240C,988,0.10592,0.01119
YGR241C,569,0.04621,0.00820
YGR242W,103,0.67435,0.05333
YGR243W,147,0.16011,0.02435
YGR244C,428,0.10065,0.01391
YGR245C,768,0.05457,0.00793
YGR246C,597,0.08008,0.01180
YGR247W,240,0.09205,0.01665
YGR248W,256,0.30779,0.03677
YGR249W,457,0.04181,0.00788
YGR250C,782,0.04835,0.00800
YGR251W,197,0.15085,0.02199
YGR252W,440,0.05866,0.00956
YGR253C,261,0.11641,0.01822
YGR254W,438,0.19050,0.01483
YGR255C,480,0.05055,0.00826
YGR256W,493,0.13663,0.01824
YGR257C,367,0.03095,0.00550
YGR258C,1032,0.02509,0.00440
YGR259C,147,0.35379,0.04075
YGR260W,535,0.06652,0.01052
YGR261C,810,0.04231,0.00698
YGR262C,262,0.08601,0.01355
YGR263C,425,0.08340,0.01270
YGR264C,752,0.13176,0.01507
YGR265W,137,0.84248,0.08588
YGR266W,702,0.13455,0.01991
YGR267C,244,0.09070,0.01312
YGR268C,199,0.08519,0.01573
YGR270W,1380,0.03506,0.00569
YGR271W,1968,0.04848,0.00773
YGR273C,175,0.14168,0.02166
YGR274C,1067,0.03296,0.00503
YGR275W,158,0.08193,0.01364
YGR276C,554,0.06797,0.01088
YGR277C,306,0.09111,0.01637
YGR278W,578,0.05666,0.00976
YGR279C,387,0.21638,0.01815
YGR280C,272,0.09803,0.01553
YGR281W,1478,0.07689,0.01073
